flow,se,power,efficiency,head,num_units,unit1,unit2,unit3,unit7
3526.6,2.515,8869.3,6.6,60.5,1,OFF,OFF,OFF,ON
7390.7,0.219,1621.5,76.1,61.3,1,OFF,OFF,ON,OFF
10762.4,0.989,10645.1,17.4,63.1,2,OFF,OFF,ON,ON
7337.9,0.22,1614.5,75.8,61.3,1,OFF,ON,OFF,OFF
10713.7,0.993,10634.8,17.3,63.1,2,OFF,ON,OFF,ON
14297,0.229,3280.1,76.9,64.8,2,OFF,ON,ON,OFF
17442.4,0.719,12537.4,25.4,67.2,2,OFF,ON,ON,ON
7232.9,0.22,1592.4,75.8,61.3,1,ON,OFF,OFF,OFF
10625.2,0.999,10610.5,17.2,63,2,ON,OFF,OFF,ON
14224.5,0.229,3257.5,77,64.8,2,ON,OFF,ON,OFF
17389.2,0.72,12511.7,25.4,67.1,3,ON,OFF,ON,ON
14178.7,0.229,3247,76.9,64.7,2,ON,ON,OFF,OFF
17325.4,0.722,12501.6,25.3,67.1,3,ON,ON,OFF,ON
20541.6,0.242,4967.8,78.3,69.5,3,ON,ON,ON,OFF
23454.6,0.614,14393.5,32,72,4,ON,ON,ON,ON
