flow,se,power,efficiency,head,num_units,unit1,unit2,unit3,unit4,unit5,unit6
1930.5,0.544,1049.6,75.1,150,1,OFF,OFF,OFF,OFF,OFF,ON
1784.3,0.557,994.3,73.2,149.8,1,OFF,OFF,OFF,OFF,ON,OFF
3615.6,0.565,2041.6,73.9,153.2,2,OFF,OFF,OFF,OFF,ON,ON
2089.1,0.521,1087.8,78.4,150,1,OFF,OFF,OFF,ON,OFF,OFF
3924.2,0.544,2136.5,76.9,153.7,2,OFF,OFF,OFF,ON,OFF,ON
3771.4,0.552,2082.1,75.8,153.6,2,OFF,OFF,OFF,ON,ON,OFF
5463.2,0.572,3124,75.2,157.9,3,OFF,OFF,OFF,ON,ON,ON
2104.2,0.57,1199.4,71.6,150,1,OFF,OFF,ON,OFF,OFF,OFF
3941,0.572,2255.5,73.1,153.8,2,OFF,OFF,ON,OFF,OFF,ON
3787.9,0.581,2201,72,153.7,2,OFF,OFF,ON,OFF,ON,OFF
5477.7,0.594,3251.6,72.4,157.9,3,OFF,OFF,ON,OFF,ON,ON
4103.1,0.56,2297.3,74.9,154.1,2,OFF,OFF,ON,ON,OFF,OFF
5769.4,0.581,3351.2,74.5,158.9,3,OFF,OFF,ON,ON,OFF,ON
5638.2,0.585,3297.3,73.7,158.4,3,OFF,OFF,ON,ON,ON,OFF
7061.8,0.613,4327.9,72.8,163.9,4,OFF,OFF,ON,ON,ON,ON
1797.7,0.565,1016.4,72.1,149.8,1,OFF,ON,OFF,OFF,OFF,OFF
3623.7,0.569,2063,73.3,153.3,2,OFF,ON,OFF,OFF,OFF,ON
3480.2,0.577,2009,72.1,152.9,2,OFF,ON,OFF,OFF,ON,OFF
5170.7,0.59,3048.5,72.5,157,3,OFF,ON,OFF,OFF,ON,ON
3778.6,0.557,2103.4,75.1,153.7,2,OFF,ON,OFF,ON,OFF,OFF
5463.3,0.576,3145.2,74.7,157.9,3,OFF,ON,OFF,ON,OFF,ON
5327.1,0.58,3091.9,73.9,157.5,3,OFF,ON,OFF,ON,ON,OFF
6756.1,0.608,4110.1,72.8,162.7,4,OFF,ON,OFF,ON,ON,ON
3795,0.586,2222.3,71.5,153.7,2,OFF,ON,ON,OFF,OFF,OFF
5477.7,0.597,3272.8,72,157.9,3,OFF,ON,ON,OFF,OFF,ON
5341.5,0.603,3218.6,71.2,157.5,3,OFF,ON,ON,OFF,ON,OFF
6767.5,0.628,4248.5,70.6,162.7,4,OFF,ON,ON,OFF,ON,ON
5637.4,0.589,3318.6,73.3,158.4,3,OFF,ON,ON,ON,OFF,OFF
7077.9,0.615,4354.7,72.6,164,4,OFF,ON,ON,ON,OFF,ON
6936.8,0.62,4300.9,71.7,163.4,4,OFF,ON,ON,ON,ON,OFF
8188.9,0.648,5304.3,71,169,5,OFF,ON,ON,ON,ON,ON
2041.7,0.552,1126.1,74,150,1,ON,OFF,OFF,OFF,OFF,OFF
3869,0.562,2176.1,74.4,153.8,2,ON,OFF,OFF,OFF,OFF,ON
3721,0.57,2121.7,73.3,153.5,2,ON,OFF,OFF,OFF,ON,OFF
5405.9,0.585,3164.8,73.3,157.7,3,ON,OFF,OFF,OFF,ON,ON
4033.8,0.55,2217.3,76.2,153.9,2,ON,OFF,OFF,ON,OFF,OFF
5700.7,0.572,3262.5,75.5,158.6,3,ON,OFF,OFF,ON,OFF,ON
5565.8,0.577,3209.3,74.7,158.2,3,ON,OFF,OFF,ON,ON,OFF
6993.8,0.605,4231.1,73.6,163.6,4,ON,OFF,OFF,ON,ON,ON
4050.8,0.577,2336.7,72.7,154,2,ON,OFF,ON,OFF,OFF,OFF
5714.2,0.594,3391.9,72.8,158.7,3,ON,OFF,ON,OFF,OFF,ON
5580.2,0.598,3337.7,72,158.3,3,ON,OFF,ON,OFF,ON,OFF
7004,0.624,4371.3,71.4,163.7,4,ON,OFF,ON,OFF,ON,ON
5877.2,0.585,3439.8,74.1,159.3,3,ON,OFF,ON,ON,OFF,OFF
