flow,se,power,efficiency,head,num_units,unit9,unit8,unit10,unit67
3332.6,0.783,2609.8,82.7,237.8,1,OFF,OFF,OFF,ON
1674.1,0.838,1402.1,75.8,233.3,0.5,OFF,OFF,ON,OFF
4827.9,0.822,3966.4,80.6,243.3,1.5,OFF,OFF,ON,ON
1607,0.849,1364.9,74.7,233,0.5,OFF,ON,OFF,OFF
4760.2,0.825,3929.3,80.1,243,1.5,OFF,ON,OFF,ON
3212,0.861,2765.2,75.1,237.6,1,OFF,ON,ON,OFF
6108.8,0.863,5271.4,78.9,250.3,2,OFF,ON,ON,ON
1641.8,0.81,1329.9,78.4,233.1,0.5,ON,OFF,OFF,OFF
4801.5,0.814,3910.1,81.3,243.2,1.5,ON,OFF,OFF,ON
3252.2,0.842,2738.2,76.8,237.7,1,ON,OFF,ON,OFF
6153.9,0.855,5263.2,79.7,250.3,2,ON,OFF,ON,ON
3181,0.849,2699.5,76.2,237.6,1,ON,ON,OFF,OFF
6071.4,0.86,5220.1,79.2,250.2,2,ON,ON,OFF,ON
4708.7,0.872,4106.7,75.8,242.7,1.5,ON,ON,ON,OFF
7282,0.9,6554.3,77.8,257.2,2.5,ON,ON,ON,ON
