flow,se,power,efficiency,head,num_units,unit7,unit6,unit5,unit4,unit3,unit2,unit1
2094.7,0.777,1627.7,82.1,234.5,1,OFF,OFF,OFF,OFF,OFF,OFF,ON
2138.3,0.791,1692,80.7,234.6,1,OFF,OFF,OFF,OFF,OFF,ON,OFF
4188.5,0.792,3318.6,81.5,237.2,2,OFF,OFF,OFF,OFF,OFF,ON,ON
2177.3,0.784,1707.1,81.5,234.7,1,OFF,OFF,OFF,OFF,ON,OFF,OFF
4225.5,0.789,3334.4,81.8,237.2,2,OFF,OFF,OFF,OFF,ON,OFF,ON
4274.8,0.795,3398.1,81.3,237.3,2,OFF,OFF,OFF,OFF,ON,ON,OFF
6239.5,0.805,5023.6,81.6,241.5,3,OFF,OFF,OFF,OFF,ON,ON,ON
2158.5,0.801,1728.6,79.8,234.6,1,OFF,OFF,OFF,ON,OFF,OFF,OFF
4202.9,0.798,3355.2,80.9,237.2,2,OFF,OFF,OFF,ON,OFF,OFF,ON
4252.1,0.804,3418.8,80.3,237.3,2,OFF,OFF,OFF,ON,OFF,ON,OFF
6211.6,0.812,5043.3,80.9,241.4,3,OFF,OFF,OFF,ON,OFF,ON,ON
4289.1,0.801,3434.6,80.7,237.3,2,OFF,OFF,OFF,ON,ON,OFF,OFF
6244.1,0.81,5060.1,81.1,241.5,3,OFF,OFF,OFF,ON,ON,OFF,ON
6300,0.813,5122.6,80.9,241.6,3,OFF,OFF,OFF,ON,ON,ON,OFF
8148.2,0.828,6747.7,81.1,246.6,4,OFF,OFF,OFF,ON,ON,ON,ON
2022.9,0.787,1591.2,81.1,234.4,1,OFF,OFF,ON,OFF,OFF,OFF,OFF
4072.2,0.79,3218.1,81.7,237.1,2,OFF,OFF,ON,OFF,OFF,OFF,ON
4121.2,0.796,3281.8,81.1,237.1,2,OFF,OFF,ON,OFF,OFF,ON,OFF
6091.6,0.805,4906.7,81.5,241.2,3,OFF,OFF,ON,OFF,OFF,ON,ON
4158.4,0.793,3297.5,81.4,237.2,2,OFF,OFF,ON,OFF,ON,OFF,OFF
6124.4,0.804,4923.5,81.7,241.3,3,OFF,OFF,ON,OFF,ON,OFF,ON
6180.1,0.807,4986.1,81.4,241.4,3,OFF,OFF,ON,OFF,ON,ON,OFF
8042.6,0.822,6611.3,81.6,246.3,4,OFF,OFF,ON,OFF,ON,ON,ON
4135.8,0.802,3318.3,80.5,237.1,2,OFF,OFF,ON,ON,OFF,OFF,OFF
6096.7,0.811,4943.2,81,241.2,3,OFF,OFF,ON,ON,OFF,OFF,ON
6152.3,0.814,5005.8,80.7,241.3,3,OFF,OFF,ON,ON,OFF,ON,OFF
8012.2,0.827,6629.9,81,246.2,4,OFF,OFF,ON,ON,OFF,ON,ON
6184.9,0.812,5022.6,80.9,241.4,3,OFF,OFF,ON,ON,ON,OFF,OFF
8043.7,0.826,6647.1,81.1,246.3,4,OFF,OFF,ON,ON,ON,OFF,ON
8102.9,0.828,6708.7,81,246.5,4,OFF,OFF,ON,ON,ON,ON,OFF
9830.7,0.847,8330.2,81,252.2,5,OFF,OFF,ON,ON,ON,ON,ON
1939.6,0.832,1614.7,76.6,234.3,1,OFF,ON,OFF,OFF,OFF,OFF,OFF
3985,0.814,3242.4,79.3,237,2,OFF,ON,OFF,OFF,OFF,OFF,ON
4033.5,0.82,3306.1,78.7,237,2,OFF,ON,OFF,OFF,OFF,ON,OFF
5997.9,0.822,4932.4,79.8,241.1,3,OFF,ON,OFF,OFF,OFF,ON,ON
4070.5,0.816,3321.9,79.1,237.1,2,OFF,ON,OFF,OFF,ON,OFF,OFF
6030.7,0.821,4949.1,80,241.1,3,OFF,ON,OFF,OFF,ON,OFF,ON
6086,0.823,5011.8,79.7,241.2,3,OFF,ON,OFF,OFF,ON,ON,OFF
7946.4,0.835,6637.5,80.2,246,4,OFF,ON,OFF,OFF,ON,ON,ON
4048.3,0.826,3342.7,78.2,237.1,2,OFF,ON,OFF,ON,OFF,OFF,OFF
6003.3,0.828,4968.9,79.3,241.1,3,OFF,ON,OFF,ON,OFF,OFF,ON
6058.4,0.83,5031.5,79.1,241.2,3,OFF,ON,OFF,ON,OFF,ON,OFF
7916.1,0.841,6656.2,79.6,245.9,4,OFF,ON,OFF,ON,OFF,ON,ON
6091.1,0.829,5048.3,79.2,241.2,3,OFF,ON,OFF,ON,ON,OFF,OFF
7947.3,0.84,6673.4,79.7,246,4,OFF,ON,OFF,ON,ON,OFF,ON
8005.6,0.841,6735,79.7,246.2,4,OFF,ON,OFF,ON,ON,ON,OFF
9724.2,0.859,8355.6,79.8,251.9,5,OFF,ON,OFF,ON,ON,ON,ON
3918,0.818,3205.5,78.8,236.9,2,OFF,ON,ON,OFF,OFF,OFF,OFF
5884.3,0.821,4832.2,79.8,240.8,3,OFF,ON,ON,OFF,OFF,OFF,ON
5938.3,0.824,4894.9,79.6,241,3,OFF,ON,ON,OFF,OFF,ON,OFF
7809.9,0.835,6519.9,80.1,245.6,4,OFF,ON,ON,OFF,OFF,ON,ON
5971,0.823,4911.6,79.8,241,3,OFF,ON,ON,OFF,ON,OFF,OFF
7841.4,0.834,6537.1,80.2,245.7,4,OFF,ON,ON,OFF,ON,OFF,ON
7899.2,0.835,6598.8,80.1,245.8,4,OFF,ON,ON,OFF,ON,ON,OFF
9620.1,0.854,8218.3,80.2,251.7,5,OFF,ON,ON,OFF,ON,ON,ON
5943.9,0.83,4931.4,79.1,241,3,OFF,ON,ON,ON,OFF,OFF,OFF
7810.6,0.839,6555.9,79.6,245.6,4,OFF,ON,ON,ON,OFF,OFF,ON
7868.7,0.841,6617.6,79.5,245.7,4,OFF,ON,ON,ON,OFF,ON,OFF
9588.3,0.859,8236.2,79.7,251.6,5,OFF,ON,ON,ON,OFF,ON,ON
7900.1,0.84,6634.8,79.7,245.8,4,OFF,ON,ON,ON,ON,OFF,OFF
9617,0.858,8254.8,79.8,251.7,5,OFF,ON,ON,ON,ON,OFF,ON
9690,0.858,8313.1,79.9,251.9,5,OFF,ON,ON,ON,ON,ON,OFF
11261.8,0.881,9924.5,79.5,257.5,6,OFF,ON,ON,ON,ON,ON,ON
2172.4,0.797,1730.5,80.2,234.7,1,ON,OFF,OFF,OFF,OFF,OFF,OFF
4221,0.796,3358,81.2,237.2,2,ON,OFF,OFF,OFF,OFF,OFF,ON
4270.3,0.801,3421.6,80.6,237.3,2,ON,OFF,OFF,OFF,OFF,ON,OFF
6235.7,0.809,5047.5,81.2,241.5,3,ON,OFF,OFF,OFF,OFF,ON,ON
4307.2,0.798,3437.4,80.9,237.3,2,ON,OFF,OFF,OFF,ON,OFF,OFF
6268.3,0.808,5064.3,81.4,241.5,3,ON,OFF,OFF,OFF,ON,OFF,ON
6324.5,0.811,5126.8,81.1,241.6,3,ON,OFF,OFF,OFF,ON,ON,OFF
8175.9,0.826,6753.3,81.3,246.7,4,ON,OFF,OFF,OFF,ON,ON,ON
4284.6,0.807,3458.2,80,237.3,2,ON,OFF,OFF,ON,OFF,OFF,OFF
6240.3,0.815,5084,80.7,241.5,3,ON,OFF,OFF,ON,OFF,OFF,ON
6296.3,0.817,5146.5,80.4,241.6,3,ON,OFF,OFF,ON,OFF,ON,OFF
8145.5,0.831,6771.9,80.7,246.6,4,ON,OFF,OFF,ON,OFF,ON,ON
6328.7,0.816,5163.3,80.6,241.6,3,ON,OFF,OFF,ON,ON,OFF,OFF
8177.1,0.83,6789.1,80.9,246.7,4,ON,OFF,OFF,ON,ON,OFF,ON
8236.9,0.832,6850.6,80.8,246.9,4,ON,OFF,OFF,ON,ON,ON,OFF
9963.4,0.85,8473.5,80.8,252.6,5,ON,OFF,OFF,ON,ON,ON,ON
4153.8,0.8,3321.1,80.7,237.2,2,ON,OFF,ON,OFF,OFF,OFF,OFF
6120.6,0.808,4947.4,81.3,241.3,3,ON,OFF,ON,OFF,OFF,OFF,ON
6176.3,0.811,5009.9,81,241.4,3,ON,OFF,ON,OFF,OFF,ON,OFF
8039.8,0.825,6635.5,81.2,246.3,4,ON,OFF,ON,OFF,OFF,ON,ON
6209.1,0.81,5026.8,81.2,241.4,3,ON,OFF,ON,OFF,ON,OFF,OFF
8071.4,0.824,6652.7,81.4,246.4,4,ON,OFF,ON,OFF,ON,OFF,ON
8130.8,0.826,6714.2,81.3,246.5,4,ON,OFF,ON,OFF,ON,ON,OFF
9859.3,0.845,8335.6,81.2,252.3,5,ON,OFF,ON,OFF,ON,ON,ON
6181.1,0.816,5046.4,80.5,241.4,3,ON,OFF,ON,ON,OFF,OFF,OFF
8040.9,0.83,6671.4,80.8,246.3,4,ON,OFF,ON,ON,OFF,OFF,ON
8100.1,0.831,6732.9,80.7,246.5,4,ON,OFF,ON,ON,OFF,ON,OFF
9827,0.85,8353.3,80.8,252.2,5,ON,OFF,ON,ON,OFF,ON,ON
8132,0.83,6750.1,80.9,246.5,4,ON,OFF,ON,ON,ON,OFF,OFF
9855.6,0.849,8372.2,80.8,252.3,5,ON,OFF,ON,ON,ON,OFF,ON
9929.9,0.849,8430.4,80.9,252.5,5,ON,OFF,ON,ON,ON,ON,OFF
11482.1,0.875,10044.7,80.5,258.6,6,ON,OFF,ON,ON,ON,ON,ON
4066,0.823,3345.4,78.4,237.1,2,ON,ON,OFF,OFF,OFF,OFF,OFF
6026.8,0.825,4973,79.5,241.1,3,ON,ON,OFF,OFF,OFF,OFF,ON
6082.2,0.828,5035.6,79.3,241.2,3,ON,ON,OFF,OFF,OFF,ON,OFF
7943.6,0.839,6661.7,79.8,246,4,ON,ON,OFF,OFF,OFF,ON,ON
6114.9,0.826,5052.4,79.5,241.3,3,ON,ON,OFF,OFF,ON,OFF,OFF
7974.8,0.838,6678.9,80,246.1,4,ON,ON,OFF,OFF,ON,OFF,ON
8033.3,0.839,6740.5,79.9,246.2,4,ON,ON,OFF,OFF,ON,ON,OFF
9752.7,0.857,8361.1,80,252,5,ON,ON,OFF,OFF,ON,ON,ON
6087.3,0.833,5072.1,78.8,241.2,3,ON,ON,OFF,ON,OFF,OFF,OFF
7944.5,0.843,6697.6,79.4,246,4,ON,ON,OFF,ON,OFF,OFF,ON
8002.7,0.845,6759.2,79.3,246.2,4,ON,ON,OFF,ON,OFF,ON,OFF
9720.7,0.862,8379,79.6,251.9,5,ON,ON,OFF,ON,OFF,ON,ON
8034.3,0.843,6776.4,79.5,246.2,4,ON,ON,OFF,ON,ON,OFF,OFF
9749.3,0.861,8397.7,79.6,252,5,ON,ON,OFF,ON,ON,OFF,ON
9822.8,0.861,8455.9,79.7,252.2,5,ON,ON,OFF,ON,ON,ON,OFF
11382.4,0.884,10067,79.4,258.1,6,ON,ON,OFF,ON,ON,ON,ON
5967.2,0.827,4935.5,79.3,241,3,ON,ON,ON,OFF,OFF,OFF,OFF
7838.4,0.837,6561.3,79.9,245.7,4,ON,ON,ON,OFF,OFF,OFF,ON
7896.3,0.839,6623,79.8,245.8,4,ON,ON,ON,OFF,OFF,ON,OFF
9616.9,0.857,8241.8,79.9,251.7,5,ON,ON,ON,OFF,OFF,ON,ON
7927.8,0.838,6640.2,79.9,245.9,4,ON,ON,ON,OFF,ON,OFF,OFF
9645.6,0.856,8260.4,80,251.7,5,ON,ON,ON,OFF,ON,OFF,ON
9718.6,0.856,8318.5,80.1,251.9,5,ON,ON,ON,OFF,ON,ON,OFF
11294.6,0.879,9929,79.8,257.6,6,ON,ON,ON,OFF,ON,ON,ON
7897.2,0.843,6659,79.4,245.8,4,ON,ON,ON,ON,OFF,OFF,OFF
9613.9,0.861,8278.4,79.6,251.7,5,ON,ON,ON,ON,OFF,OFF,ON
9686.6,0.861,8336.5,79.7,251.8,5,ON,ON,ON,ON,OFF,ON,OFF
11261.5,0.883,9944.7,79.4,257.5,6,ON,ON,ON,ON,OFF,ON,ON
9715.2,0.86,8355.1,79.7,251.9,5,ON,ON,ON,ON,ON,OFF,OFF
11284.7,0.883,9966.4,79.4,257.6,6,ON,ON,ON,ON,ON,OFF,ON
11349.9,0.883,10021.6,79.5,257.9,6,ON,ON,ON,ON,ON,ON,OFF
12761.5,0.911,11629.2,78.9,264,7,ON,ON,ON,ON,ON,ON,ON
