flow,se,power,efficiency,head,num_units,unit10,unit8,unit9,unit67,unit1
897,0.822,737.6,72.1,217.9,1,OFF,OFF,OFF,OFF,ON
3584.8,0.764,2738.2,78,218.9,1,OFF,OFF,OFF,ON,OFF
4460,0.778,3470,76.9,219.9,2,OFF,OFF,OFF,ON,ON
1711,0.764,1306.8,0.78,218.3,0.5,OFF,OFF,ON,OFF,OFF
2642.6,0.644,1701,92.2,218.1,1.5,OFF,OFF,ON,OFF,ON
5285.3,0.693,3663.1,86.6,220.6,1.5,OFF,OFF,ON,ON,OFF
6155.3,0.713,4388.1,84.5,221.2,2.5,OFF,OFF,ON,ON,ON
1731.8,0.761,1318.3,78.1,218.3,0.5,OFF,ON,OFF,OFF,OFF
2629.1,0.782,2055.6,75.9,218.1,1.5,OFF,ON,OFF,OFF,ON
5280.7,0.767,4051.2,78.3,220.6,1.5,OFF,ON,OFF,ON,OFF
6152.5,0.778,4784.6,77.4,221.2,2.5,OFF,ON,OFF,ON,ON
3467.9,0.655,2272.5,90.9,218.9,1,OFF,ON,ON,OFF,OFF
4345.3,0.69,2999,86.7,219.8,2,OFF,ON,ON,OFF,ON
6952.8,0.713,4955.8,84.9,222.4,2,OFF,ON,ON,ON,OFF
7776.4,0.728,5663,83.7,224,3,OFF,ON,ON,ON,ON
1841.1,0.726,1336,81.8,218.1,0.5,ON,OFF,OFF,OFF,OFF
2737.3,0.757,2073.4,78.4,218.1,1.5,ON,OFF,OFF,OFF,ON
5387.7,0.755,4069.6,79.5,220.6,1.5,ON,OFF,OFF,ON,OFF
6255.7,0.768,4802.4,78.5,221.3,2.5,ON,OFF,OFF,ON,ON
3575.4,0.641,2290.5,93,218.9,1,ON,OFF,ON,OFF,OFF
4449.5,0.678,3015.5,88.3,219.9,2,ON,OFF,ON,OFF,ON
7048.7,0.705,4968.3,86,222.7,2,ON,OFF,ON,ON,OFF
7878.5,0.721,5678.7,84.7,224.2,3,ON,OFF,ON,ON,ON
3564.7,0.745,2655.8,80,218.9,1,ON,ON,OFF,OFF,OFF
4442.5,0.764,3394.2,78.3,219.9,2,ON,ON,OFF,OFF,ON
7048.7,0.764,5385.1,79.4,222.7,2,ON,ON,OFF,ON,OFF
7881.1,0.776,6115.3,78.7,224.2,3,ON,ON,OFF,ON,ON
5268.9,0.682,3591.8,88.1,220.6,1.5,ON,ON,ON,OFF,OFF
6140.3,0.704,4321.1,85.6,221.2,2.5,ON,ON,ON,OFF,ON
8653.2,0.723,6256.5,84.9,225.6,2.5,ON,ON,ON,ON,OFF
9469.5,0.739,6994,83.7,227,3.5,ON,ON,ON,ON,ON
