flow,se,power,efficiency,head,num_units,unit7,unit6,unit5,unit4,unit3,unit2,unit1
2342.1,0.697,1633.4,78.9,202.2,1,OFF,OFF,OFF,OFF,OFF,OFF,ON
2351.5,0.697,1639,79,202.3,1,OFF,OFF,OFF,OFF,OFF,ON,OFF
4552.9,0.719,3274.8,79.5,210.1,2,OFF,OFF,OFF,OFF,OFF,ON,ON
2330.3,0.726,1692.6,75.8,202.2,1,OFF,OFF,OFF,OFF,ON,OFF,OFF
4544.9,0.733,3332.6,78,210.1,2,OFF,OFF,OFF,OFF,ON,OFF,ON
4536.4,0.735,3333.2,77.8,210,2,OFF,OFF,OFF,OFF,ON,ON,OFF
6554.2,0.76,4982,78.9,220.3,3,OFF,OFF,OFF,OFF,ON,ON,ON
2422.3,0.693,1677.7,79.6,202.6,1,OFF,OFF,OFF,ON,OFF,OFF,OFF
4631.2,0.716,3317.6,80,210.5,2,OFF,OFF,OFF,ON,OFF,OFF,ON
4621.9,0.718,3317.9,79.8,210.4,2,OFF,OFF,OFF,ON,OFF,ON,OFF
6638.8,0.748,4966.2,80.4,220.8,3,OFF,OFF,OFF,ON,OFF,ON,ON
4614.3,0.732,3375.9,78.3,210.4,2,OFF,OFF,OFF,ON,ON,OFF,OFF
6639.1,0.757,5024.2,79.4,220.8,3,OFF,OFF,OFF,ON,ON,OFF,ON
6620.6,0.759,5022.5,79.2,220.7,3,OFF,OFF,OFF,ON,ON,ON,OFF
8399.8,0.795,6673.9,79.8,233,4,OFF,OFF,OFF,ON,ON,ON,ON
2372.7,0.681,1615.5,80.9,202.4,1,OFF,OFF,ON,OFF,OFF,OFF,OFF
4584.6,0.71,3253.9,80.6,210.3,2,OFF,OFF,ON,OFF,OFF,OFF,ON
4575.7,0.711,3254.4,80.5,210.2,2,OFF,OFF,ON,OFF,OFF,ON,OFF
6589.3,0.744,4901.5,80.7,220.5,3,OFF,OFF,ON,OFF,OFF,ON,ON
4567.8,0.725,3312.2,78.9,210.2,2,OFF,OFF,ON,OFF,ON,OFF,OFF
6589.4,0.753,4959.7,79.8,220.5,3,OFF,OFF,ON,OFF,ON,OFF,ON
6571.1,0.755,4958,79.5,220.4,3,OFF,OFF,ON,OFF,ON,ON,OFF
8352.1,0.791,6607.1,80.1,232.6,4,OFF,OFF,ON,OFF,ON,ON,ON
4653.8,0.708,3297.1,80.9,210.6,2,OFF,OFF,ON,ON,OFF,OFF,OFF
6674.2,0.741,4943.7,81.2,221,3,OFF,OFF,ON,ON,OFF,OFF,ON
6655.5,0.743,4942,81,220.9,3,OFF,OFF,ON,ON,OFF,ON,OFF
8427.2,0.782,6590.3,81.2,233.2,4,OFF,OFF,ON,ON,OFF,ON,ON
6655.9,0.751,5000,80,220.9,3,OFF,OFF,ON,ON,ON,OFF,OFF
8436.2,0.788,6644.2,80.6,233.2,4,OFF,OFF,ON,ON,ON,OFF,ON
