name,to_zone_id,voltage_type,flow,power,se,include
well_eshtaol1,3,high,675,742.5,1.1,1
well_eshtaol2,3,high,170,212.5,1.25,1
well_eshtaol3,3,high,460,680.8,1.48,1
well_eshtaol4,3,high,620,682.0,1.1,1
well_eshtaol5,3,high,580,754.0,1.3,1
well_eshtaol6,3,high,440,638.0,1.45,1
well_eshtaol8,3,high,610,1006.5,1.65,1
well_eshtaol9,3,high,728,990.08,1.36,1
well_kfar_uria9,3,low,0,0.0,0.0,0
well_modiin3,3,high,542,747.96,1.38,1
well_modiin4,3,high,895,984.5,1.1,1
well_kfar_uria11,48,high,313,184.357,0.589,1
well_kfar_uria2,48,low,363,206.91,0.57,1
well_kfar_uria3,48,high,500,250.0,0.5,1
well_kfar_uria8,48,high,316,101.12,0.32,1
well_en_karem1,56,low,0,0.0,0.0,0
well_en_karem10,56,low,0,0.0,0.0,0
well_en_karem13,56,high,124,148.8,1.2,1
well_en_karem14,56,high,0,0.0,0.0,0
well_en_karem15,56,low,0,0.0,0.0,0
well_en_karem16,56,high,124,186.0,1.5,1
well_en_karem17,56,low,0,0.0,0.0,0
well_en_karem18,56,low,347,405.99,1.17,1
well_en_karem3,56,low,0,0.0,0.0,0
well_en_karem6,56,low,0,0.0,0.0,0
well_en_karem9,56,low,449,237.97,0.53,1
well_jerusalem1,56,high,141,243.93,1.73,0
well_jerusalem3,56,low,126,177.66,1.41,1
well_jerusalem4,56,low,132,183.48,1.39,1
well_jerusalem5,56,low,0,0.0,0.0,0
well_jerusalem6,56,low,0,0.0,0.0,0
well_eshtaol7,999,high,540,523.8,0.97,0
