,1,2,3,4,5,6,7
0,OFF,OFF,OFF,OFF,OFF,OFF,OFF
1,OFF,OFF,OFF,OFF,OFF,OFF,OFF
2,OFF,OFF,OFF,OFF,OFF,OFF,OFF
3,OFF,OFF,OFF,OFF,OFF,OFF,OFF
4,OFF,OFF,OFF,OFF,OFF,OFF,OFF
5,OFF,OFF,OFF,OFF,OFF,OFF,OFF
6,OFF,OFF,OFF,OFF,OFF,OFF,OFF
7,OFF,OFF,OFF,OFF,OFF,OFF,OFF
8,ON,ON,ON,ON,ON,ON,ON
9,ON,ON,ON,ON,ON,ON,ON
10,ON,ON,ON,ON,ON,ON,ON
11,ON,ON,ON,ON,ON,ON,ON
12,ON,ON,ON,ON,ON,ON,ON
13,ON,ON,ON,ON,ON,ON,ON
14,ON,ON,ON,ON,ON,ON,ON
15,ON,ON,ON,ON,ON,ON,ON
16,ON,ON,ON,ON,ON,ON,ON
17,ON,ON,ON,ON,ON,ON,ON
18,OFF,OFF,OFF,OFF,OFF,OFF,OFF
19,OFF,OFF,OFF,OFF,OFF,OFF,OFF
20,OFF,OFF,OFF,OFF,OFF,OFF,OFF
21,OFF,OFF,OFF,OFF,OFF,OFF,OFF
22,OFF,OFF,OFF,OFF,OFF,OFF,OFF
23,OFF,OFF,OFF,OFF,OFF,OFF,OFF
